IndicatorCode,Location,Period,Dim1ValueCode,Value
WHOSIS_000001,Honduras,2015,BTSX,69.82
WHOSIS_000001,Rwanda,2015,FMLE,69.82
WHOSIS_000001,Latvia,2015,MLE,69.93
WHOSIS_000001,Seychelles,2015,MLE,69.95
WHOSIS_000001,Samoa,2015,BTSX,70.04
WHOSIS_000001,Fiji,2015,FMLE,70.08
WHOSIS_000001,Iraq,2015,BTSX,70.29
WHOSIS_000001,Philippines,2015,BTSX,70.3
WHOSIS_000001,Saint Vincent and the Grenadines,2015,MLE,70.3
WHOSIS_000001,Grenada,2015,MLE,70.44
WHOSIS_000001,Egypt,2015,BTSX,70.49
WHOSIS_000001,Timor-Leste,2015,FMLE,70.49
WHOSIS_000001,Bolivia (Plurinational State of),2015,MLE,70.59
WHOSIS_000001,Venezuela (Bolivarian Republic of),2015,MLE,70.59
WHOSIS_000001,Indonesia,2015,BTSX,70.61
WHOSIS_000001,India,2015,FMLE,70.62
WHOSIS_000001,Azerbaijan,2015,BTSX,70.67
WHOSIS_000001,Myanmar,2015,FMLE,70.7
WHOSIS_000001,Tajikistan,2015,FMLE,70.82
WHOSIS_000001,Armenia,2015,MLE,70.88
WHOSIS_000001,Guatemala,2015,BTSX,70.95
WHOSIS_000001,Mauritius,2015,MLE,70.96
WHOSIS_000001,Bhutan,2015,MLE,71.05
WHOSIS_000001,Trinidad and Tobago,2015,MLE,71.1
WHOSIS_000001,Sao Tome and Principe,2015,FMLE,71.12
WHOSIS_000001,Republic of Moldova,2015,BTSX,71.13
WHOSIS_000001,Belize,2015,MLE,71.14
WHOSIS_000001,Bulgaria,2015,MLE,71.17
WHOSIS_000001,Romania,2015,MLE,71.28
WHOSIS_000001,Russian Federation,2015,BTSX,71.3
WHOSIS_000001,Morocco,2015,MLE,71.37
WHOSIS_000001,Nepal,2015,FMLE,71.39
WHOSIS_000001,Oman,2015,MLE,71.4
WHOSIS_000001,Uzbekistan,2015,BTSX,71.45
WHOSIS_000001,Samoa,2015,FMLE,71.49
WHOSIS_000001,Bolivia (Plurinational State of),2015,BTSX,71.52
WHOSIS_000001,Kyrgyzstan,2015,BTSX,71.59
WHOSIS_000001,Brazil,2015,MLE,71.67
WHOSIS_000001,The former Yugoslav Republic of Macedonia,2015,MLE,71.67
WHOSIS_000001,Saudi Arabia,2015,MLE,71.73
